M,N,N_DRONES,Value Iteration Time,Policy Iteration Time,Linear Programming Time,Best Algorithm
6,7,4,0.2874629497528076,1.7425909042358398,0.8466527462005615,Value Iteration
6,7,5,0.3047029972076416,1.5688199996948242,0.909308910369873,Value Iteration
6,8,2,0.5312681198120117,3.106550931930542,1.8750689029693604,Value Iteration
6,8,3,0.725348711013794,1.6264538764953613,1.7619152069091797,Value Iteration
6,8,4,0.5415117740631104,1.3775579929351807,1.3981621265411377,Value Iteration
6,8,5,0.6142158508300781,1.2476129531860352,1.8527941703796387,Value Iteration
7,3,2,0.031242847442626953,0.0751349925994873,0.10060501098632812,Value Iteration
7,3,3,0.03285622596740723,0.0386049747467041,0.09094405174255371,Value Iteration
7,3,4,0.039669036865234375,0.03896307945251465,0.07767295837402344,Policy Iteration
7,3,5,0.03733086585998535,0.07904982566833496,0.07019519805908203,Value Iteration
7,4,2,0.06963396072387695,0.1520371437072754,0.29666709899902344,Value Iteration
7,4,3,0.0796349048614502,0.10606598854064941,0.2940077781677246,Value Iteration
7,4,4,0.07491493225097656,0.11306309700012207,0.2941749095916748,Value Iteration
7,4,5,0.09751391410827637,0.2266221046447754,0.2822229862213135,Value Iteration
7,5,2,0.15926718711853027,0.4082050323486328,0.5298717021942139,Value Iteration
7,5,3,0.1709277629852295,0.3387289047241211,0.4785130023956299,Value Iteration
7,5,4,0.1340019702911377,0.41236186027526855,0.5026941299438477,Value Iteration
7,5,5,0.136077880859375,0.59670090675354,0.33725690841674805,Value Iteration
7,6,2,0.32546567916870117,1.0863018035888672,0.8942859172821045,Value Iteration
7,6,3,0.3246619701385498,1.1827101707458496,0.7928760051727295,Value Iteration
7,6,4,0.46958303451538086,1.0876121520996094,1.5949199199676514,Value Iteration
7,6,5,0.3061678409576416,0.7230494022369385,1.4245550632476807,Value Iteration
7,7,2,0.5803432464599609,1.3103358745574951,1.3251819610595703,Value Iteration
7,7,3,0.5365250110626221,1.301481008529663,1.5213098526000977,Value Iteration
7,7,4,0.7397639751434326,1.6718730926513672,1.7897961139678955,Value Iteration
7,7,5,0.5787551403045654,1.525231122970581,1.5312001705169678,Value Iteration
7,8,2,0.889927864074707,2.109362840652466,2.420604944229126,Value Iteration
7,8,3,0.9971582889556885,2.0826849937438965,2.318253993988037,Value Iteration
7,8,4,1.1203131675720215,2.958153009414673,2.571850061416626,Value Iteration
7,8,5,1.0079991817474365,2.5534250736236572,3.4002881050109863,Value Iteration
8,3,2,0.047483205795288086,0.1432337760925293,0.1938631534576416,Value Iteration
8,3,3,0.0395660400390625,0.48985791206359863,0.14730596542358398,Value Iteration
8,3,4,0.057389020919799805,0.11048412322998047,0.17223811149597168,Value Iteration
8,3,5,0.04947209358215332,0.08053994178771973,0.14673614501953125,Value Iteration
8,4,2,0.13054704666137695,0.3378181457519531,0.38825392723083496,Value Iteration
8,4,3,0.10761690139770508,0.38550901412963867,0.33545923233032227,Value Iteration
8,4,4,0.12880396842956543,0.3262641429901123,0.3872358798980713,Value Iteration
8,4,5,0.13045501708984375,0.416485071182251,0.20388317108154297,Value Iteration
8,5,2,0.2635459899902344,0.697091817855835,0.7540459632873535,Value Iteration
8,5,3,0.2590353488922119,0.7592599391937256,0.8434760570526123,Value Iteration
8,5,4,0.26602602005004883,0.756281852722168,0.7151679992675781,Value Iteration
8,5,5,0.31769609451293945,0.817389965057373,1.092186689376831,Value Iteration
8,6,2,0.45508313179016113,1.68979811668396,1.600851058959961,Value Iteration
8,6,3,0.5250697135925293,1.304673194885254,1.4113450050354004,Value Iteration
8,6,4,0.48424291610717773,1.3082470893859863,1.3451838493347168,Value Iteration
8,6,5,0.5969979763031006,1.3106639385223389,1.641016960144043,Value Iteration
8,7,2,0.9400079250335693,6.375368118286133,2.7698400020599365,Value Iteration
8,7,3,0.8400387763977051,2.4204049110412598,3.966574192047119,Value Iteration
8,7,4,0.9288487434387207,2.0697178840637207,3.1850149631500244,Value Iteration
8,7,5,0.9853050708770752,2.4014580249786377,3.449181079864502,Value Iteration
8,8,2,1.4176161289215088,4.444161891937256,4.021752834320068,Value Iteration
8,8,3,1.6049671173095703,5.696422815322876,5.389095783233643,Value Iteration
8,8,4,1.6269149780273438,5.50508189201355,5.6687469482421875,Value Iteration
8,8,5,1.702829122543335,5.004394054412842,5.7515199184417725,Value Iteration
